please give me flights from atlanta to boston on wednesday morning and thursday afternoon 		 please give me flights from atlanta to boston on wednesday afternoon and thursday morning 		 Score: 0.9979
is there a flight between san francisco and boston with a stopover in dallas fort worth 		 is there a flight between san francisco and boston with a stopover at dallas fort worth 		 Score: 0.9974
what northwest airline flights leave denver before noon 		 what northwest airlines flights leave denver before noon 		 Score: 0.9963
whats the cheapest flight from denver to pittsburgh 		 what is the cheapest flight from denver to pittsburgh 		 Score: 0.9959
show me the list of flights from philadelphia to denver that leave in the afternoon 		 show me the list of flights between philadelphia and denver that leave in the afternoon 		 Score: 0.9959
list all flights from boston to atlanta after 6 oclock pm on wednesday 		 list all flights going from boston to atlanta after 6 oclock pm on wednesday 		 Score: 0.9954
what flights go from chicago to seattle on saturday on continental airlines 		 what flights go from chicago to seattle on continental airlines on saturday 		 Score: 0.9953
whats the earliest flight from atlanta to boston 		 what is the earliest flight from atlanta to boston 		 Score: 0.9952
show me the cheapest flight on june fourteenth arriving in baltimore starting from dallas 		 show me the cheapest flight arriving in baltimore on june fourteenth starting from dallas 		 Score: 0.9948
list all flights going from boston to atlanta before 5 oclock am on thursday 		 list all flights from boston to atlanta before 5 oclock am on thursday 		 Score: 0.9947
now show me the flights from denver to philadelphia on a saturday 		 show me the flights from denver to philadelphia on a saturday 		 Score: 0.9947
what is the first flight that travels from atlanta to baltimore that serves lunch 		 what is the first flight from atlanta to baltimore that serves lunch 		 Score: 0.9947
what is the earliest flight from boston to philadelphia 		 whats the earliest flight from boston to philadelphia 		 Score: 0.9941
now show me the flights from denver to atlanta 		 show me the flights from denver to atlanta 		 Score: 0.9940
what is the cheapest coach flight between dallas and baltimore leaving august tenth 		 what is the cheapest round trip coach flight between dallas and baltimore leaving august tenth 		 Score: 0.9936
show me the flights from pittsburgh to baltimore 		 now show me the flights from pittsburgh to baltimore 		 Score: 0.9934
list all flights leaving denver on continental on sunday after 2134 		 list all flights on continental leaving denver on sunday after 2134 		 Score: 0.9933
give me the flights and fares on december twenty seventh from indianapolis to orlando 		 give me the flights with the fares on december twenty seventh from indianapolis to orlando 		 Score: 0.9927
what is the last flight from atlanta to boston 		 whats the last flight from atlanta to boston 		 Score: 0.9925
please list all flights on united airlines and northwest which go to denver 		 please list all flights on northwest and united airlines that go to denver 		 Score: 0.9925
show me all flights from san francisco to washington dc 		 show me all flights from san francisco to washington dc area 		 Score: 0.9924
give me the flights from pittsburgh to los angeles thursday evening 		 give me the flights from pittsburgh to los angeles on thursday evening 		 Score: 0.9920
show me the flights from san diego to newark by way of houston 		 show me the flights that go from san diego to newark by way of houston 		 Score: 0.9920
