BOS please show me airlines with flights from dallas to nashville stop burbank EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name atis_airline
BOS what ground transportation is available in brooklyn EOS	O O O O O B-city_name atis_ground_service
BOS list ground transportation options at ottawa EOS	O O O O B-city_name atis_ground_service
BOS what is the cheapest one way fare from brooklyn to hartford EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS okay i just want to know the cheapest fare from oakland to milwaukee EOS	O O O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what are the fares for flights from brooklyn to stratford leaving sat noon EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day atis_airfare
BOS whats the lowest round trip fare from memphis to burbank EOS	O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS list airlines serving between newark and los angeles EOS	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airline
BOS what is the cost of flights from charlotte to st louis EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS rental car in queens EOS	I-transport_type O B-city_name atis_ground_service
BOS how many 1st class flights does northwest have today EOS	O B-class_type I-class_type O O B-airline_name O B-depart_date.today_relative atis_quantity
BOS is there ground transportation available in brooklyn EOS	O O O O O B-city_name atis_ground_service
BOS can you tell me about ground transportation between the stratford airport and downtown stratford EOS	O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name atis_ground_service
BOS how much is a round trip fare from memphis to cleveland EOS	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS which airlines fly from houston to washington dc via other cities EOS	O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O atis_airline
BOS give me the round trip coach fare from minneapolis to sanford EOS	O O B-round_trip I-round_trip B-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS is there an intercity limousine at the brussels airport EOS	O O B-transport_type I-transport_type O O B-airport_name I-airport_name atis_ground_service
BOS show me the cheapest one way fares from san antonio to minneapolis EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what airlines fly from tampa to oakland EOS	O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS now id like a schedule for thre fligth om tuesday orning from oakland no from dallas fort worths to atlanta EOS	O O O B-flight_time O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS show me the most expensive one way 1st class fare from memphis to newark EOS	O O B-cost_relative I-cost_relative B-round_trip I-round_trip B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me the schedule for airlines leaving milwaukee going to san francisco for next fri EOS	O O B-flight_time O O O B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name O B-depart_date.date_relative B-depart_date.day_name atis_flight_time
BOS can i have a rental car in dallas EOS	O O O B-transport_type I-transport_type O B-city_name atis_ground_service
BOS how many united flights leave from washington EOS	O B-airline_name O O O B-fromloc.city_name atis_quantity
BOS show me us airlines fares for next wednesday from austin to ontario EOS	O B-airline_name I-airline_name O O B-depart_date.date_relative B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me the cheapest fare from cincinnati to hartford EOS	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS which airlines fly from philly to washington dc via other cities EOS	O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O atis_airline
BOS round trip fly fares from vancouver to philadelphia less than 25000 dollars EOS	I-round_trip O O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount atis_airfare
BOS what is the cheapest round trip fare from nashville to hartford EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS i would like to know the 1st class fare on a flight from toronto to orlando EOS	O O O O O B-class_type I-class_type O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me ground transportation for dallas EOS	O O O O B-city_name atis_ground_service
BOS what airlines fly between detroit and atlanta EOS	O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS is there ground transportation between airport and downtown in austin EOS	O O O O O O O O B-toloc.city_name atis_ground_service
BOS which airlines serve memphis EOS	O O B-city_name atis_airline
BOS please show me airlines with flights from burbank to ottawa EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS what times does avelo depart from columbus to st louis EOS	B-flight_time O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight_time
BOS please give me ground transportation information for queens EOS	O O O O O O B-city_name atis_ground_service
BOS can you list the cheapest round trip fare from riverside to san francisco EOS	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what airlines fly from dallas to orlando EOS	O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS how many transportation codes belong to economic class EOS	O O O O O B-economy I-economy atis_quantity
BOS what is deltas schedule of night flights to queens EOS	O B-airline_name B-flight_time O B-depart_time.period_of_day O O B-toloc.city_name atis_flight_time
BOS what airlines go to oakland EOS	O O O B-toloc.city_name atis_airline
BOS what type of ground transportation is available between the airport and downtown st petersburg EOS	O O O O O O O O O O O B-toloc.city_name I-toloc.city_name atis_ground_service
BOS is there limousine service available at houston airport EOS	O B-transport_type O O O B-airport_name I-airport_name atis_ground_service
BOS what ground transportation is available at philadelphia airport EOS	O O O O O B-airport_name I-airport_name atis_ground_service
BOS what is the ground transport in oakland EOS	O O O O O B-city_name atis_ground_service
BOS show me the lowest fare for a round trip flight from boston to tampa EOS	O O B-cost_relative O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the smallest aircraft available flying from tacoma to tampa arriving on apr seventh EOS	O O B-mod O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.month_name B-arrive_date.day_number atis_aircraft
BOS i would like the cheapest one way fare from denver to burbank EOS	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS is there limo service at cleveland airport EOS	O B-transport_type O O B-airport_name I-airport_name atis_ground_service
BOS what are the 1st class and coach fares for flights from la to ny city arriving around 10 pm next sunday EOS	O O B-class_type I-class_type O B-class_type O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_date.date_relative B-arrive_date.day_name atis_airfare
BOS what is the ground transportation between airport and burbank EOS	O O O O O O O B-toloc.city_name atis_ground_service
BOS how many flights does usa air have with a class of service code f EOS	O O O B-airline_name I-airline_name O O O O O O O B-fare_basis_code atis_quantity
BOS show me the ground transportation in queens EOS	O O O O O B-city_name atis_ground_service
BOS show me the cheapest one way fare from austin to hartford EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS please show me all airlines with sat flights from burbank to sanford EOS	O O O O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS please list available ground transportation in atlanta EOS	O O O O O B-city_name atis_ground_service
BOS how much is a round trip fare from hartford to pittsburgh EOS	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me one more time the 1st class fares from memphis to cincinnati EOS	O O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the abbreviation for sky west airlines EOS	O O O O B-airline_name I-airline_name I-airline_name atis_abbreviation
BOS show me the airlines with 1st class flights EOS	O O O O B-class_type I-class_type O atis_airline
BOS list the fares of the northwest airline flights from baltimore to manhattan EOS	O O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the cheapest fare between memphis and las vegas EOS	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what is the cheapest fare from boston to baltimore round trip EOS	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip atis_airfare
BOS show me all fares between memphis and manchester city that are less than 200 dollars one way EOS	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip atis_airfare
BOS what ground transportation is available at the houston airport EOS	O O O O O O B-airport_name I-airport_name atis_ground_service
BOS id like the cheapest one way fare from hartford to toronto please EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O atis_airfare
BOS show me ground transportation information for ny city EOS	O O O O O B-city_name I-city_name atis_ground_service
BOS please show me all fares for flights from montreal to seattle EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS list all round trip fares from tacoma to washington EOS	O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me the first class fares from riverside to sanford EOS	O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS ground transportation in dallas EOS	O O B-city_name atis_ground_service
BOS what kind of ground transportation is available in los angeles EOS	O O O O O O O B-city_name I-city_name atis_ground_service
BOS what is the smallest aircraft available to fly on from austin to newark EOS	O O B-mod O O O O O O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS what ground transportation is available in appleton EOS	O O O O O B-city_name atis_ground_service
BOS give me a list of airlines in hartford EOS	O O O O O O B-city_name atis_airline
BOS how many cities are served by lufthansa with first class flights EOS	O O O O O B-airline_name O B-class_type I-class_type O atis_quantity
BOS ground transport in stratford EOS	O O B-city_name atis_ground_service
BOS and how can i get to the seattle airport from downtown seattle EOS	O O O O O O B-toloc.airport_name I-toloc.airport_name O O B-fromloc.city_name atis_ground_service
BOS what are the ground transportation services in chicago EOS	O O O O O O B-city_name atis_ground_service
BOS what is the fare from atlanta to cleveland on coach one way EOS	O O O O B-fromloc.city_name O B-toloc.city_name O B-class_type B-round_trip I-round_trip atis_airfare
BOS how many countries are served by continental with economy class flights EOS	O O O O O B-airline_name O B-class_type I-class_type O atis_quantity
BOS what kinds of ground transportation is available in dallas fortress worth EOS	O O O O O O O B-city_name I-city_name I-city_name atis_ground_service
BOS can you tell me the cheapest one way fare from newark to st petersburg EOS	O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS please list the rental car information in la EOS	O O B-transport_type I-transport_type O O B-city_name atis_ground_service
BOS goods transportation in oakland EOS	O O B-city_name atis_ground_service
